variable,Mean,SD,Min,Median,Max
aging_ratio,0.195,0.026,0.147,0.197,0.234
dependency_ratio,0.437,0.039,0.362,0.443,0.494
dist_nearest_green_km,0.239,0.252,0.02,0.119,1.002
dist_nearest_hospital_km,2.267,2.051,0.425,1.24,6.44
green_area_per_capita,122.689,134.05,4.168,75.501,491.816
green_space_pct,84.31,45.808,15.898,74.583,169.217
n_green_spaces,1294.222,1210.105,370,890,4586
n_hospitals,2.389,1.461,1,2,7
n_pet_gardens,2.167,0.985,1,2,5
pop_density,19376.197,18125.219,1031.685,13646.118,57322.735
total_pop,411774.722,163028.193,166695,408718,692806
