country_name,n_parks,parks_per_100k,global_rank,global_percentile,tier,region
Denmark,522,8.842905778838928,1,100,Top Tier,Europe & Central Asia
Greenland,5,8.82441185295,2,98.95833333333334,Top Tier,Europe & Central Asia
Netherlands,1234,6.971364639543728,3,97.91666666666666,Top Tier,Europe & Central Asia
Austria,559,6.182362438841339,4,96.875,Advanced,Europe & Central Asia
Belgium,676,5.787567175590165,5,95.83333333333334,Advanced,Europe & Central Asia
Estonia,76,5.634471101094274,6,94.79166666666666,Advanced,Europe & Central Asia
Sweden,555,5.292296390339185,7,93.75,Developing,Europe & Central Asia
Hungary,481,5.007769851642996,8,92.70833333333334,Developing,Europe & Central Asia
Luxembourg,27,4.134110546116003,9,91.66666666666666,Developing,Europe & Central Asia
Spain,1973,4.128815528833049,10,90.625,Developing,Europe & Central Asia
Italy,2315,3.9228201155505213,11,89.58333333333334,Emerging,Europe & Central Asia
Czechia,403,3.7761951282772546,12,88.54166666666666,Emerging,Europe & Central Asia
Faroe Islands,2,3.7097492209526637,13,87.5,Emerging,Europe & Central Asia
Australia,906,3.482108132832509,14,86.45833333333334,Emerging,East Asia & Pacific
Iceland,12,3.1413365863618874,15,85.41666666666666,Emerging,Europe & Central Asia
Slovakia,168,3.0929247137940026,16,84.375,Emerging,Europe & Central Asia
Israel,279,2.9191734240125555,17,83.33333333333334,Emerging,Middle East & North Africa
Croatia,105,2.7232825877720463,18,82.29166666666666,Emerging,Europe & Central Asia
Monaco,1,2.5686470935758137,19,81.25,Low Tier,Europe & Central Asia
Liechtenstein,1,2.532094295191553,20,80.20833333333334,Low Tier,Europe & Central Asia
Canada,981,2.5195234818304346,21,79.16666666666666,Low Tier,North America
Andorra,2,2.50925286995797,22,78.125,Low Tier,Europe & Central Asia
Marshall Islands,1,2.4951967462634426,23,77.08333333333334,Low Tier,East Asia & Pacific
Germany,2018,2.426127746349859,24,76.04166666666666,Low Tier,Europe & Central Asia
Lithuania,66,2.3308055864465773,25,75,Low Tier,Europe & Central Asia
Norway,95,1.7408427548048635,26,73.95833333333334,Low Tier,Europe & Central Asia
New Zealand,88,1.7317039573371118,27,72.91666666666666,Low Tier,East Asia & Pacific
France,1152,1.6895346105051479,28,71.875,Low Tier,Europe & Central Asia
Latvia,31,1.6494775146949823,29,70.83333333333334,Low Tier,Europe & Central Asia
Portugal,164,1.5717345394031934,30,69.79166666666666,Low Tier,Europe & Central Asia
Switzerland,128,1.458342447973633,31,68.75,Low Tier,Europe & Central Asia
Belarus,133,1.4412546240704043,32,67.70833333333334,Low Tier,Europe & Central Asia
Bulgaria,90,1.3920904821690998,33,66.66666666666666,Low Tier,Europe & Central Asia
Cyprus,18,1.3519908064625161,34,65.625,Low Tier,Europe & Central Asia
Malta,6,1.129703095198197,35,64.58333333333334,Low Tier,Middle East & North Africa
Serbia,48,0.720239587698848,36,63.541666666666664,Low Tier,Europe & Central Asia
Costa Rica,35,0.6887370824900404,37,62.5,Low Tier,Latin America & Caribbean
Ireland,34,0.6522361340352929,38,61.458333333333336,Low Tier,Europe & Central Asia
Romania,112,0.5879727445234276,39,60.416666666666664,Low Tier,Europe & Central Asia
Singapore,32,0.567675627308178,40,59.375,Low Tier,East Asia & Pacific
Ukraine,197,0.47991698459339804,41,58.333333333333336,Low Tier,Europe & Central Asia
North Macedonia,8,0.43674988207753185,42,57.291666666666664,Low Tier,Europe & Central Asia
Greece,45,0.43116325354641355,43,56.25,Low Tier,Europe & Central Asia
Georgia,16,0.430976198800701,44,55.208333333333336,Low Tier,Europe & Central Asia
Bosnia and Herzegovina,12,0.3744381088129625,45,54.166666666666664,Low Tier,Europe & Central Asia
Barbados,1,0.35421050021606837,46,53.125,Low Tier,Latin America & Caribbean
Montenegro,2,0.3207230380169053,47,52.083333333333336,Low Tier,Europe & Central Asia
Armenia,7,0.23575373838070862,48,51.041666666666664,Low Tier,Europe & Central Asia
Japan,290,0.23176825214346272,49,50,Low Tier,East Asia & Pacific
Chile,39,0.19945751646956514,50,48.95833333333333,Low Tier,Latin America & Caribbean
Argentina,75,0.16516948238791201,51,47.91666666666667,Low Tier,Latin America & Caribbean
Colombia,85,0.1642894816230038,52,46.875,Low Tier,Latin America & Caribbean
Bhutan,1,0.12805507392619417,53,45.83333333333333,Low Tier,South Asia
United Arab Emirates,12,0.11910697165859534,54,44.79166666666667,Low Tier,Middle East & North Africa
Kazakhstan,23,0.11480134201770548,55,43.75,Low Tier,Europe & Central Asia
Brazil,240,0.11411920078614815,56,42.70833333333333,Low Tier,Latin America & Caribbean
Panama,5,0.11361640330005661,57,41.66666666666667,Low Tier,Latin America & Caribbean
United Kingdom,71,0.10502337139814212,58,40.625,Low Tier,Europe & Central Asia
"Taiwan, Province of China",52,0.104,59,39.58333333333333,Low Tier,East Asia & Pacific
Mexico,128,0.09952328579362554,60,38.54166666666667,Low Tier,Latin America & Caribbean
"Korea, Republic of",43,0.08321629992888491,61,37.5,Low Tier,East Asia & Pacific
"Moldova, Republic of",2,0.079093462371680745,62,36.45833333333333,Low Tier,Europe & Central Asia
Türkiye,58,0.06825142313337035,63,35.41666666666667,Low Tier,Europe & Central Asia
Ecuador,11,0.061714898823753306,64,34.375,Low Tier,Latin America & Caribbean
Uruguay,2,0.05898116524959503,65,33.33333333333333,Low Tier,Latin America & Caribbean
Peru,15,0.04480897307452706,66,32.29166666666667,Low Tier,Latin America & Caribbean
Kyrgyzstan,3,0.04300939611940555,67,31.25,Low Tier,Europe & Central Asia
Albania,1,0.04078908940805242,68,30.208333333333332,Low Tier,Europe & Central Asia
"Venezuela, Bolivarian Republic of",10,0.035444631816583104,69,29.166666666666668,Low Tier,Latin America & Caribbean
"Bolivia, Plurinational State of",4,0.03312038581275026,70,28.125,Low Tier,Latin America & Caribbean
Oman,1,0.021140638946215255,71,27.083333333333332,Low Tier,Middle East & North Africa
Cuba,2,0.018083476946279417,72,26.041666666666668,Low Tier,Latin America & Caribbean
Dominican Republic,2,0.01780827504239705,73,25,Low Tier,Latin America & Caribbean
Malaysia,6,0.017293312419569884,74,23.958333333333336,Low Tier,East Asia & Pacific
Thailand,12,0.016728159147356807,75,22.916666666666664,Low Tier,East Asia & Pacific
Tunisia,2,0.016502556988692612,76,21.875,Low Tier,Middle East & North Africa
Paraguay,1,0.014791884107363045,77,20.833333333333336,Low Tier,Latin America & Caribbean
Nepal,3,0.010095763023635258,78,19.791666666666664,Low Tier,South Asia
Azerbaijan,1,0.00986022538897603,79,18.75,Low Tier,Europe & Central Asia
Honduras,1,0.009556691824976453,80,17.708333333333336,Low Tier,Latin America & Caribbean
Saudi Arabia,3,0.009323944411389335,81,16.666666666666664,Low Tier,Middle East & North Africa
"Iran, Islamic Republic of",7,0.007819110813845894,82,15.625,Low Tier,Middle East & North Africa
Algeria,3,0.00659668478328868,83,14.583333333333334,Low Tier,Middle East & North Africa
Madagascar,2,0.006570893484798124,84,13.541666666666666,Low Tier,Sub-Saharan Africa
Kenya,3,0.0055297030672949565,85,12.5,Low Tier,Sub-Saharan Africa
Morocco,2,0.005357755554760227,86,11.458333333333332,Low Tier,Middle East & North Africa
China,74,0.005240143749889355,87,10.416666666666668,Low Tier,East Asia & Pacific
Namibia,2,0.004,88,9.375,Low Tier,NA
Indonesia,8,0.0028691262856657992,89,8.333333333333332,Low Tier,East Asia & Pacific
Uzbekistan,1,0.0028621348291613183,90,7.291666666666667,Low Tier,Europe & Central Asia
Iraq,1,0.0022690889433172735,91,6.25,Low Tier,Middle East & North Africa
Viet Nam,2,0.002006407361588866,92,5.208333333333334,Low Tier,East Asia & Pacific
Jersey,1,0.002,93,4.166666666666666,Low Tier,Europe & Central Asia
Egypt,2,0.0017759110978904395,94,3.125,Low Tier,Middle East & North Africa
India,24,0.001683710479663495,95,2.083333333333333,Low Tier,South Asia
Bangladesh,1,5.903714071981282e-4,96,1.0416666666666665,Low Tier,South Asia
